영화평점,영화감상평
8,첫 번째와 두 번째 모두 3D로 봤고요.한 번 더 본 이유는 첫 번째로 봤을 때 이해 안 가는 부분이 서너 가지나 돼서 이해하려고 봤어요.저만 이해 못한게 아니라 다들 같은 부분을 이해 못했더라구요.3시간 20분이나 되는데 이해 안 되는 부분이 있다는 건 스토리에 문제가 많았다는거죠.두번 째로 보기 전에 의문점 서너 가지를 상기하면서 봤고 대부분 이해됐어요.안 풀린 것도 있지만요. 스토리의 부족한 부분을 cg의 장엄함으로 덮은 거 같은데 3D로 안 보면 지루할 부분이 꽤 있어요.
10,런닝타임 길어서 보다가 지칠 줄 알았는데 괜한 걱정이었습니다 시간 가는 줄 모르게 봤고 다음편이 기다려져요
10,킬링 타임으로 딱인 영화...근데 이제 3시간인.
7,2시간으로 만들었으면 좋았을 내용을 3시간 이상 보려니.. 약간 지루한 느낌이 들었던 영화...
10,스토리는 1이랑 비슷한데 그냥 CG만으로도 볼 가치가 있는 영화였음
10,ㄹㅇ 시간가는줄도 모르고 봤음… 그만큼 너무 재미있었고아바타 3 빨리 나왔으면 좋겠다
10,일단 연출이 너무 완벽했어요..!그리고 배우들의 연기도 너무너무 좋았고요스토리도 제가 1시간밖에 못자고 영화를 보게 됐는데 안 졸렸을 정도로 정말 지루한 틈이 없었고 보는 내내 너무 즐겁고 재밌었어요!! 영상미는 말할 것도 없고요!! ost 또한 감동을 더 주는 역할을 똑똑히 한 것 같습니다!! 아바타1을 안 보고 봤는데 그냥 인생영화로 되버렸어요ㅠㅠㅠ안 보면 손해에요..ㄹㅇ...꼭 보세요ㅠㅠㅠ!!
7,놀랍진 않아도 기대한 만큼은 보여준다
6,"내용이 너무 없고, CG 위주임"
6,1탄 스토리구성과 신비로운분위기를 2탄까지 끌고가진못함. 갑자기 아이들위주의전개 그냥 가족영화가되어버린느낌. 빌런은 인간이어만 하는가?라는 의문 그 전에 이미 본 악당... 아름다운 그래픽이 아니라면 스토리자체는 매력없음.
8,아이맥스로 봐야하는 영화라고 강하게 느낌.
8,"그래픽, 이정도까지 할 수 있다고 대놓고 자랑하는 영화!영상미는 베리 굿, 스토리는 진부...재미있긴 한데 너무 길어요"
10,와우!! 어렸을때 쥬라기공원 보고 놀란정도는 아니지만 그래도 이정도면 대단한 영화인듯~ 영화 보는 내내 환상속에 들어있는 느낌~ 내용은 8.5점 정도같지만 나머지가 10점 이상이라 10점 줌
10,대단한영화임 화장실 못참고 잠깐 갔다온 그시간조차아까움
6,3D 별 의미 없는 듯 초반에 화살 쏘는 것만 잠깐 튀어나오는 느낌이었고 그 후로는 그냥 자막만 둥둥 떠다님 몇천원 더 내고 3D볼 바엔 그냥 2D 보세요
10,진짜… 미쳤음. 이 영화는 두 분류로 갈리는 것 같아요.서울 용산 아이맥스에서 봤느냐 안 봤느냐..영상의 여운에서 해어나오지 못하고 있습니다
10,3시간 어찌보나했는데순식간. 영상미하나로도 말다했
9,말이 필요 없다! 이게 진짜 3D영화다. 날 수족관으로 소환했다.
10,제가본 CG중 제일 깔끔했습니다
8,애들말왜케안듣나요..ㅎ
10,와 진짜 어떻게 이런 영화를 만들었는지 싶을정도로 너무 놀라웠고 볼때 소름돋을 정도로 CG 영상미가 미쳤네요아바타3편도 나온다면 정말로 너무 너무 기대가 되네요 !
10,진짜 바다씬 색감 최고 ㄷㄷ
2,누가 4D로 보라고 추천함. 알고보니 극장에서 알바를 풀어놓음. 4D 큰 메리트 없음 그냥 2D로 봐도 최고임!!! 괜한 아까운 22000원!!!그래서 별점은 1개!!!
2,완전재미없고 영화볼시간에 다른것을하는것 추천합니다
7,"역대급 스케일, 하지만 진부한 스토리"
10,아바타를 몇년동안 기다린 보람이 컸던 역대급으로 잘 만들었고 감동적인 요즘 현대의 CG의 기술을 선보인 영화라고 생각 합니다ㅎㅎ
10,볼거리가 정말 많네요. 시간 가는줄 몰랐습니다. 꼭 극장에서 보세요!
10,이보다 높은 영상미는 22년도에 찾아볼 수 없었습니다
6,눈과 귀를 홀리느라 개연성과 스토리를 놓침
10,"가족과 같이 보았는데, 너무 재미있게 잘 보았습니다 영상미나 스토리 전개도 좋았습니다 ~ !"
10,제 인생작 시즌2(시즌1 아바타) 보는 내내 시선을 땔수가 없는 작품입니다.
10,들어가기전에 3시간 어떻게 보지 걱정했는데 시간가는줄 몰랐어요
10,제임스카메론이 왜 천재인지 또 한번 입증하는 영화...
10,용아맥 남돌비 각각 명당에서 1번씩 보고 용아맥 취소표 노리고 있음. 해외여행 가지말고 판도라로 여행가자
5,솔직히 아쿠아리움가는게 더 재밌음
10,시간이 긴데도 지루할 틈 없이 잘 봤습니다. 영상미에 눈이 호강하는 느낌 좋았어요
8,새해 첫영화는 3D ATMOS에서 특별하게~~!!해양 덕후 카메론 형님 제대로 물만났다. 시각 효과 하나 만큼은 최고~~!!근데 이후 시리즈에 대한 서론적인 의미로 서사는 약간 늘어지는…..그래도 3시간이 지겹거나 아깝지 않은 영화는 아니지만…음 두번은 못 보겠다.암튼 열대우림에서 바다 그럼 다음은 사막일까? 고산일까???
10,영상미 좋은 영화는 무적권 영화관에서 봐야하는 이유가 있다
8,"극강의 영상미, 동화같은 스토리"
10,믿고보는 제임스카메론 나에게 꿈이 있다면 그사람과 함께 일하는것이다.
10,10/10 Ten out of ten
10,뛰어난 영상미
10,그냥 ㅆ1벌 존나 좋아ㅠ
10,CG 잘 감상하면서 봤습니다 시간이 길다고 하지만 감수하고 볼 정도로 잼있었습니다
10,돌비시네마로 보세요 걍 개쩔어요
8,스토리는 조금 아쉬운감이 없지 않지만 그래도 영상미 만큼은 정말 최고였다. 극장에서 보는 걸 추천
10,모든 게 다 좋았습니다. 다음 시리즈 너무 기대하고 있어요
9,전편보다 더욱 더 업그레이드 되어 돌아온 아바타의 CG 기술력과 화려한 영상미에 흠뻑 빠져들었습니다.스토리 부분이 다소 미흡했지만 그걸 덮어버리는 장점들이 더욱 컸습니다.
7,괜찮은 영화 근데 진짜 길어서 팝콘 라지로 해야함
8,강렬한 시각효과와 함께 왕도를 걷는 스토리의 안정적인 조화
7,아바타1편을 처음 접했을때 받았던 충격과 센세이션함은 반토막났고 드라마 과잉탓에 세시간이 넘는 상영시간 내내 지루하기 짝이 없다.후속편을 염두한 탓인지 결말 또한 다소 아쉽고 밋밋하다.
10,3시간이 지루하지않고 재밌어요
10,역시 아바타 믿고본다. 지렸다
9,3시간동안 오감이 만족하는 최고의 영화
9,영상미 미쳤드라. 진짜 판도라가 실제 행성같음. 근데 이해가 안되는게 왜 제이크 설리 이양반은 걍 다른 부족으로 가지말고 혼자 숲에서 살지 왜 굳이 물부족 가서 괜히 피해보게 함? 그래서 토노와리가 전투중에 튀었나?
10,대나나다는 말 밖에 없습니다. 아이맥스로 강추해요
3,아무리 영상이 최고라지만...실질적인 내용은?
5,영상미 +5점. 그 외의 어떠한 요소에서도 +가 없다. 의미없는 점프스케어는 남발하지 않으면 죽는 병에 걸렸나?
6,"영상미는 인정 근데 너~~~~무 길어 별 얘기도 없으면서,,, 시계를 몇 번이나 봤는지,,,대사도 나만 느끼한가,,,감동1도 없었음결국 지들이 살기위해 얼마나 많은 사람들이 죽은거야나쁜놈은 미친듯이 그냥 나쁜놈으로만 나오고 마지막에 그렇게 살아서 시즌 3,4,5에,,또 미친듯이 죽일라고 달려들겠지,,, 이젠 극장에서 안볼란다"
4,기술에 미쳐 스토리는 미처...
10,재밌고 화려하고 황홀하고 감동적인 최고의 영화임 3시간이 값지고 행복했음 역시 아바타
8,생각보다 스토리가 빈약하고 전투씬도 1편에 비해 박진감이 떨어짐. 물론 1편에 비해서 그렇다는거임. 영상미는 엄청나지만 그게비해 스토리텔링이 많이 아쉬운 영화.
10,눈물 찔끔한 건 나뿐인가…
9,"스토리는 미진하고 답답했지만, 숲을 벗어나 바다로 옮겨진 영상이 너무 황홀했다."
8,스토리는 케바케가있을지는 몰라도 판도라가 실제한다는걸 증명하는 영화라 그냥 보러가세요...언제 저희가 판도라행성에 가겠습니까??
10,이정도 퀄리티 영상은 쉽게 접하기 힘든 훌륭한 영화입니다
9,정말 재밌었고 오열했어요
10,그냥 갓띵작 보면앎 ㅋㅋ
4,영화 기술이 정말 발전했구나 라는걸 느낌 근데 그거뿐인듯
10,1보다는 충격적이지는 않지만 4DX 로 뛰어난 영상미는 압권이였다.쿨톤(돌고래 생각나서)과 큰아들 부분에서 눈물나고 세월호도 생각나서 눈물나던데. 정말 1은 두번봤었는데 2는 조금은 지루하긴함. 한번 더 보기엔 글쎄..
8,3시간동안 화려한 영상에 취해서 보았다. 영상미는 정말 인정하지만 스토리는 왜 이럴까
6,솔직히 영상미 빼고는 너무 지루하다
9,어제 친구랑 본 군대가기 전 마지막 영화ㅋ잼썼음
10,보는 내내 CG가 정말 아름다웠어요!
7,아쿠아리움 갔다온 기분
10,옆자리 아저씨가 생중계 해주던거 빼고는 완벽한 영화였움
7,스토리는 지루하긴 했지만 뛰어난 영상미로 눈이 즐거웠다
8,아바타 1을 봤을 때의 감격과 놀라움에 비하면 다소 실망스러움 ㅋ거의 4시간 소요 영화1편 보니 하루가 다감 ㅋ 3D로 봤는데 멀미...ㅜㅜ 어질어질 속이 미식미식3D안경의 퀼리티 업그래이드가 시급하다
9,개인적으로 1편보다 볼거리가 많았고 역시 아바타라는 말이 나올 수 밖에 없었다 참으로 웅장하고 감격스러운영화
10,이미 봤는데 또 보고싶을정도로 재미있었어요!! 연기도 엄청 잘하시고 짱이였어요!!
8,꼭 봐야하지만 시계도 자꾸 보고 싶은 영화
10,1편만큼에 감동을 또 받을 수 있을까 싶었는데 정말 대단함
10,영상미 하나만으로도 볼 이유가 충분한 영화. 꼭 3D로 보세요~
10,한계라는게 없는 인간의아니 감독의 연출배우의 혼신의연기..기대에 어긋나지않는 ...최고
10,와 진짜 이건 스토리도 스토린데 연출이 진찐 미침 아바타1 안본사람은 꼭 보고 봐야 이해잘됨!
10,"저처럼 아이맥스 보겠다고 A열에 앉으실거면 멀미약(귀밑에..알죠) 붙이고 보세요. 하늘날다가 바다 들어갔다가 배탔다가그리고 영화 시작 전에 난 분명 쉬야했는데 중간에 또 화장실 가고싶지만..응 못나가.. 화장실2번 갔다오세요.네이티리 오랜만에 전쟁이지만 활 실력 죽지않았고, 우리 엄마가 네이티리 였으면 오지게 말 잘 들었을듯... 여튼 아바타3땜에 남겨둔 몇가지 때문에 조금 찝찝한데 그래도 태어나서 이런 영상미를 언제 보겠나 싶고 황홀함. 아바타1이 재미로 치자면 더 재밌는데, 아바타2는 여튼 아이맥스로 보면 절대 후회는 없습니다"
4,개인적으로 좀 많이 지루했고 이게 3시간 까지 갈 필요가 있나 싶음..주인공끼리 싸울때만 잠깐 집중하게 되고 나중엔 집중도 안 됨
10,가족영화로 굿이에요~
10,"제이크의 감정에대한 설명이 많이 간소화된거같아서 아쉬웠지만 매버릭 이후 영화는 극장에서!의 의의를 각양각색으로 충족시켜준 영화. 그간의 기다림이 결코 헛되지않았다. 3시간동안 팝콘도 음료도없이 들어갔어도 그 부재가 느껴지지않았고, 그래픽 디자이너들의 거대한 무덤같았다. 이 엄청나고도 혁신적인 그래픽이라니 얼마나 많은 영혼을 갈아넣었을지 ...1편보다 배우들의 감정표현들이 더 잘 전달되었다. 역시 거장..얼른 3편 보고싶다 ㅎㅎ"
6,걍 cg만 볼만함. 내용이 너무 빈약함.
6,개노잼.. 4d보다 토할뻔 멀미 오짐
6,스케일은 크나 가족애만 강조
10,영상미가 좋아요 4디로 보니 굿굿다만 3 4 5 편까지 있는 거라 그런가결말이 영 아쉽게 끝남 ㅠㅠ
6,영상미에 비해 빈약한 서사
10,1편보다 훨 재밌네요 ㄷㄷ
8,한 줄 평 : 무자식 상팔자
10,영화에 있는 캐릭터들이 아주 용감했어요
9,딱 9.5점이 어울리는 영화
10,세상에
10,아바타3에는 어느 지형을 테마로 할지 몹시 기대됩니다
10,스토리가 엉성하다고해서 기대를 조금 내려놓고 관람했는데 의외로 재미있었습니다추천
10,2009년에도 너무 재밌게봤는데 2023년에도 너무 재밌게봤어요! 영상미가 너무 이뻐요.. 첫째가 죽어서 너무너무 슬프구요ㅜㅈ판도라 부족들 모두 행복했음 좋겠다..
10,이건 현 시대를 살아가는 사람이라면 그냥 무조건 한 번 봐야되는 그런 영화다
10,걍 미쳤다.무조건 4d로 봐야한다
10,계속 나왔으면 좋겠음ㅁ
6,"너무길다,지루하다."
8,역시 영상미가 대단한 영화였지만 영상미를 빼면 조금은 아쉬웠던 영화. 1편의 충격과 재미에는 못 미쳤다.
10,10 편 20편 100편 계속해주세요
10,너무 재밌었고 지루하지도 않고 내용이 신선해서 보는내내 기분이 좋았습니다 개인적으로 너무 재밌게 봤습니다
10,역시 긴장감과 감동 영상미 모두 만족하게잼있습니다.3탄이 기대되네요
10,그래서 아바타3 개봉 언제하냐구요ㅠㅠㅠㅠ
8,스토리가 진부하고 타임라인이 엉성하긴 하지만 영상으로 그냥 끝장내는 영화 3시간이 넘는 시간동안 불편했던건 내 엉덩이뿐 초반엔 CG 끝장나고 현장감 쩐다 그러고 보다가 나중엔 저 물이 CG가 아니라 정말 물이 아닐까 하는 생각이 듬
2,ㅠㅠㅠㅠ나만 재미없었나?
8,원시부족 휴먼 다큐멘터리 ..진부.. 영상미는 훌륭합니다(어릴때는 와 하고 봤는데 커서 눈 많이 높아졌나?)
10,"재밌음, 다만 스토리가 차기작 3,4,5를 준비하는 빌드업 느낌"
10,"눈이 행복한 컴퓨터 그래픽과 마음이 풍족해지는 스토리,,이국적이고 아름다운 판도라 세계에 살고 싶어서 비는 중. 다음 생은 판도라 세상에 살게 해주세여"
10,아바타 물의 길이 재미없다는 사람은 자극적이고 선정적인 상업 영화에 길들여진 사람들 같다. 어떻게 이 영화가 재미 없을수가 있지?? 엄청난 영상미는 물론이고 가족을 다룬 스토리마저 완벽하고 좋았다. 한번 봤는데 4번정도 더 보러갈 예정
10,22년 최고의 기대작 다운 영화였습니다!엄청난 CG덕분에 영상미가 어마어마합니다후속작이 정말 기대되네요...
10,"제임스 카메론은 가히 천재라고 할 수 밖에 없음.이 긴 상영시간을 한시도 지루하게 못 느낌.내 인생 최고의 영화!!!연출, 연기, 사운드 모든게 완벽 그 자체!영화라고 하기엔 부족한,,, 이것이 아트닷!!"
10,뭐 말이 필요한가... 아바타1도 20번 본거 같은데..ㄷㄷ
10,"판도라를 너무 사랑하게 되서 그런지 모든 나비족,동식물이 최고였다. 3편 기다리기 힘들다..."
10,재미짐재미짐재미짐잼
10,3시간으로 상영시간 길지만 지루함 없고 감동과 재미 최고의 영화. 기대 안하고 봤는데 역대 최고 영화입니다
10,평점이 좀 낮은 듯요....
10,3D최고 3편기대됩니다
10,"너무 재밌어요~ 아바타 3,4,5편도 빨리 나왔으면 좋겠네요~ 제임스카메론 감독님 사랑해요 응원합니다~"
10,"혹자들은 아바타 2의 스토리가 전편보다 못하다 하는데, 아니다. 더욱 성숙했을뿐이다. 아마 자녀가 있는 부모들에게 훨씬 어필할 아바타 물의 길. 솔직히 예상했던 것보다 영화가 담고 있는 의미가 깊었고 아마 결혼을 5번이나 한 캐머런 감독이 아버지로서 부족했던 자신을 되돌아보며 자식들과 부인에게 헌사하는 영화 같았다. 철 들었소."
6,영상미는 좋았으나 내용이 아쉬웠다
4,모드가 만족할만한 CG덩어리인 영화 스토리 보러 가는거면 추천안함
8,전편에 비해 감동은 덜했으나 영상미가 뛰어남
10,네테이얌 죽습니다 ㅎ 그리고 그 악역이 있는데 걔가 스파이더 아빠입니다
10,이럴것이다라는걸 이런거다라고 보여주는 영화 3시간동안 스킨스쿠버한 느낌. 가족애는 덤
10,너무너무 재미있었습니다
10,굳..정말 아름다웠다.
10,오랜만에 영화관 갈 이유가 생겼습니다^^ 용산 아이맥스관과 남양주 돌비시네관에서 보았어용~ 남돌비에서 보시는걸 완전 추천합니다!!! 예매가 힘들긴 하지만 가서 볼만한 이유가 있다고 생각합니다~ 다음편 기대되요!!! 빨리 개봉해주세용
10,CG하나만 보러가도 돈아깝지 않은 영화
7,아름다운 판도라와 멋있는 툴쿤
7,13년 기다린 보람은 없드라
10,이건 뭐 얘네만 만들수있는 영화인듯;;
9,"진부한 클리셰가 가미되었지만 화려한 영상과 액션, 빠른전개가 충분히 커버해줌, 표값이 아깝지는 않음"
10,영상이 너무 예뻐요 ㅜㅜ 그것만으로도 한번 더 볼 가치가 있는듯!!
10,기대를 저버리지 않았다~~한마디로 너무너무 멋지다~~
10,너무 잘만들었어요.기대 이상입니다
10,전 재밌었는데 애들은 집에가자고 난리네요아이들의 집중시간 한계를 감안해야 할거 같습니다.액션 좋았는데 3시간중 액션파트 아닌 시간 감안하여 보통 줬습니다.
10,화려한 CG를 통한 영상미가 돋보였습니다
10,3만원이어도 볼 영화다
10,"남동생,사촌 언니랑 같이 2d 평범한 화면으로 영화 봤는데 남동생이랑 사촌언니는 지루하다고 하더라고요 그런데 저는 3시간동안 시간 가는줄도 모르고 루즈한지도 모르겠더라고요 루즈한 영화도 보는 편이긴 하지만 제 입장으로는 너무 좋았어요"
6,단지 훌륭한 상상일뿐. 지루한 전개
8,"환경, 동물, 인간을 돌아보게 하는 영화"
9,전작 보다 나은 후속은 없다 했지만 아바타는 계속 진화하고 있다
10,입소문보다 더 만족
2,재미없음 12살 아이와 볼 영화 아니다.
10,영화관에서 두번 본 첫 영화
8,CG와 음향은 기똥찼던 영화
8,다 좋은데 너무길어요 4d의자에서 내려오고 싶은 고비가 1시간마다 있었음
10,부제 피는 물보다 진하다로 바꿔주세요
10,돈이 안 아깝다 진짜. 같은 돈내고 똥영화본거랑 같은 값이라니
2,하 좆노잼 1시간은 꿀잠잠
10,"내 생에 최고의 영화는 T2, 타이타닉, 아바타, 그리고 아바타2"
8,나이가 있어서 그런가 역시 3D는 몰입이 잘 안되네요 화면도 축소되는 효과하고 돌비 4k 3D로 봐도 그냥 후반 액션신도 좀 기대에 못 미치고 전 화면 크고 소리는 좋은 그런 2D 영화관이 더 좋겠네요 앞으로 3D는 왠만 하면 안 보는 걸로
4,제목 바꿔야 할 듯 - 아바타2 지루한 인질극
9,누구나 재밌게 볼수있는 스토오리
8,영상미는 말할것도 없이 최고임명당석에서 봐서 몰입도도 좋고..아이맥스 자주 안보면 멀미가 상당할듯그리고 너무 길어서 난 2시간쯤 영상구경만 하고 집에 옴.
10,용산 아이맥스에서 보면 돈값 충분히 하는 영화!
10,"아바타3가 빨리 나오기를 바랄뿐입니다.ㅎㅎㅎ진짜 돌비시네마로 봤는데,와 진짜 3시간 순삭"
8,모아나 좋아하는 사람에겐 더 없이 완벽한 영화
9,CG만으로도 볼 가치 있다. 다만 일반관 말고 아이맥스로 볼 것.
10,히라ㅓ낳패뎅;프라치이애개랖
7,영상미는 정말 좋았는데..초중반 스토리가 너무 지루했어요 ㅠ후반부가 조금 재밌는정도..
8,3시간이 길게 느껴지지 않았다. 단순한 내용이지만 역시 이런 내용에 감동하게 된다고... 눈물. 역시 카메론은 카메론.
9,"상상력이 대단하다는걸 느낌, 스토리는 진부할 수 도 있지만 몰입도 좋음."
7,"영상미 8점, 스토리 6점 평균 7점 준다. 3편 나오면 아이들이 같이 보자면 볼 것이고 아니면 안볼지도 모르겠다."
10,모든 부분에서 최고의 영화였습니다
10,역시 대단하네요. 3시간동안 감동하면서 봤습니다. 영상미도 훌륭하고 내용도 어렵지 않고 가족에관한내용이어서 초등학생 아들이 감동도 받고 잼있었다고 하네요.. 3시간 금방 가네요.
6,연출은 좋았으나 이 시대에 느꼈을때 와포인트가 그렇게 많지 않았던게 아쉬운 부분. 스토리는 지루하기 짝이 없었다.
10,"3D 는 선택, 돌비는 필수."
10,1보다 더 좋다 증말 너무감동
10,2D도 좋았지만 3D로 보는것도 추천. 얼른 아바타3편 나왔으면!
10,특별관의 존재 이유
10,"진짜 너무너무너무 잘봤고요.스토리도 대단하고,반격할때 진짜 너무 멋졋어요"
10,걱정했다 졸줄 알고 4d로 봤는데 졸지 않았고 영상미 감상아주잘했다
10,1편에서 탁 트이고 아름다운 숲을 경험했다면 이번 편에선 신비롭고 매혹적인 물 속 세상을 경험한 느낌입니다. 시각과 청각적인 부분에 많은 공을 쏟아선지 너무 자연스러운 게 꼭 실재하는 것 같았어요. 약간 나도 그곳에 있는 듯 했습니다. 이 부분만으로도 충분히 10점 줄 수 있겠더라고요.2편은 진행과정을 그렸기때문에 아바타의 스토리는 완결편까지 다 나와야 어땠다고 얘기할 수 있을 거 같습니다. 결국엔 뭘 말하고 싶었던 거였는지 그걸 어떻게 받아들였는지 그런 부분들 말이죠.그냥 뭐.. 판도라 행성과 그 곳에 살고있는 종족들은 겉모습은 인간과 달라도 좀 더 자연친화적인 삶을 산다는 거 말고는 그 성질이 인간과 완전히 같아서 갈등을 풀어가는 모습이 새롭지는 않았습니다. 아마 툴쿤족을 대하는 지구인과 판도라인의 자세가 설득력과 실제같은 느낌을 주려면 아마 성질이 인간과 같아야.. 숲의 종족과 물의 종족의 다른 점을 묘사하고 서로 이해하며 받아들이는 내용이라든지 귀여운 투크의 모습도요.
10,전 재밌게 잘봤어요^^
2,스토리가 너무 지루해서 엉덩이가 간지러웠던 영화.다큐멘터리를 보는 기분
9,이건 꼭 영화관에서 봐야 해! 1. 예상했던 가족주의 2. 설리 와이프보는 안목ㄷㄷ3. 눈이 즐거웠던 바다씬
9,스토리가 약간 지루했었던 부분은 있었던거같음
9,돌비 애트모스관에서 다시 보고싶네다음편도 기다려짐
8,"스파이크 잡혔는데 지새끼 아니라고 안구하러감...첨부터 지혼자 희생하면 끝날일을 설리는 하나다! 이 gr,로 가족을 사지로 내모는 주인공."
10,"전편보다 더 화려하고, 더 몰입감있음."
10,역시 기대를 저버리지않습니다. 최고의 영상미!!
10,남양주 현대아울렛 돌비 시네마로 관람. 3시간이 넘는 상영 시간이 무색해질 정도로 시간이 가는 줄 모르고 봤음. 해당 관에서 재관람 하고 싶을 정도.
10,재밌었어요!!!진짜로!!!!
9,뛰어난 영상미와 액션 장면이 압도하는듯 정말 실감나고 보는 내내 눈을 뗄 수 없었음.
10,".._..,,'**"
10,그래픽 스토리 모두 다 흡족하네요 지루할 틈 없이 봤습니다 ~
10,"기다림이 아깝지 않았을정도로 재밌었어요. 솔직히 3편으로 가기위한 스토리 같은 느낌이 있었지만, 눈이 지루할 틈이 없었네요.1편을 안본 남편도 넘 재밌어해서 주말에 1편까지 다시 봤어요"
7,경이로움의 확장이라기보다는 이야기와 세계의 확장 그리고 그걸 이루어내는 최고의 기술적 성취
6,좀 지루 했어요..1편은 꼭 보고 가세요 그래야 내용이 이해가 갑니다
10,역쉬 제임스 카메룬 ~~3시간이 금방감~
7,"""카메론도 항상 잘 만들수는 없구나""를 느꼈던 영화1편의 흥행에는 한참 못 미칠 듯 합니다."
10,최고의 영화!! 3시간이 그냥 지나갑니다영상미와 대자연의 신비로움의 콜라보!3d아맥비용이 전혀 아깝지않습니다세번보래도 볼수있을듯!!
9,시간 가는줄 모르고 봤습니다!!
8,"아바타1을 보긴했지만 제대로 기억이안나서 보면서 처음엔 좀 헤맸지만 금방 스토리에는 몰입할수 있었음, 연출이나 스토리 자체가 대박이다 라고는 느껴지지않았지만 역시나 영상미는 와~ 가 나올만 했음."
10,와... 감동입니다. 98점 드립니다.
10,3시간동안 판도라 여행하고 왔습니다.. 꼭 용아맥에서 보세요
10,사바사겠지만 개인적으로 전 만족도 최상..지금 아바타 앓이중입니다..집와서 아바타1 다시봤어요 ㅋㅋ
10,정말 최고의 영화였습니다
2,영상미와 cg는 이미 1편에서 보여줬기에 2편의 짜임새있는 스토리와 전개를 기대했는데 허접한 개연성과 지루함에 고통스러웠다
10,초현실주의자라 CG영화 잘 못보는편인데 아무리 찾아봐도 흠잡을데가 없었어요. 3시간내내 너무 행복한시간이었습니다. 2G로 관람해서 조만간 3G로 다시 볼 예정이예요. 집으로 돌아와서 1편도 다시 시청했네요.
10,클리셰가 약간 평범하긴한데 그게 너무재밌음..3시간이 1시간으로 느껴졌어요
9,"영상미도 영상미이지만, 영화를 통해 얻을 수 잇는 교훈이 있다는 점이 좋았습니다"
8,"아쉬운 점도 있었고 1편과 비슷한 느낌이 드는 부분도 꽤 있었습니다. 1편이 워낙 명작이었기 때문에 그렇지, 1편과 너무 비교하지 않고 다른 영화들과 비교했을 때 재밌는 영화인 건 맞는 것 같습니다."
10,인생 최고의 경험돌비애트모스는 감동입니다
7,화려한 cg와 연약한 서사
9,이 영화는 작품성을 평가할 것이 아니라 2023년 시대에 우리가 보고있는 이 영화가 진짜 존재하고 있다는 것에 박수를 쳐야한다. 벌써부터 후속편의 그래픽이 기대된다
10,3시간이 넘는데 안지루해요. 9.5점 정도가 적당합니다. 너무 재밌습니다
10,아바타 1편보고 세상에서 가장 나의 상상의나래와 같은 영화를 찾은느낌이랄까? 2편도 기대를 넘어 1편보다 더 잘 만든작품으로 10번봐도 또다른 장면을 찾아낼듯...너무 잼나는 환타지 감상이었습니다.
10,3시간인 거 느끼지도 못했음.. 단지 너무나 아름다워서 눈물이 줄줄 흐르는 경험을 할 수 있음 그리고 인간은 역시나 우주의 악이다…
10,재미집니다 다시 한번 ㄱㄱㄱ
7,진부한 스토리갈팡질팡하는 캐릭터하지만 그 모든 것을 커버하는 압도적인 영상미
8,러닝타임에 지레 겁 먹을 필요 없음. 아이맥스3D 추천!
